pathway,ko
ko01200,K00018
ko01200,K00023
ko01200,K00024
ko01200,K00025
ko01200,K00026
ko01200,K00027
ko01200,K00028
ko01200,K00029
ko01200,K00030
ko01200,K00031
ko01200,K00033
ko01200,K00034
ko01200,K00036
ko01200,K00043
ko01200,K00051
ko01200,K00058
ko01200,K00116
ko01200,K00121
ko01200,K00122
ko01200,K00123
ko01200,K00124
ko01200,K00125
ko01200,K00126
ko01200,K00127
ko01200,K00131
ko01200,K00134
ko01200,K00140
ko01200,K00148
ko01200,K00150
ko01200,K00161
ko01200,K00162
ko01200,K00163
ko01200,K00164
ko01200,K00169
ko01200,K00170
ko01200,K00171
ko01200,K00172
ko01200,K00174
ko01200,K00175
ko01200,K00176
ko01200,K00177
ko01200,K00192
ko01200,K00193
ko01200,K00194
ko01200,K00195
ko01200,K00196
ko01200,K00197
ko01200,K00198
ko01200,K00200
ko01200,K00201
ko01200,K00202
ko01200,K00203
ko01200,K00204
ko01200,K00205
ko01200,K00209
ko01200,K00234
ko01200,K00235
ko01200,K00236
ko01200,K00237
ko01200,K00239
ko01200,K00240
ko01200,K00241
ko01200,K00242
ko01200,K00244
ko01200,K00245
ko01200,K00246
ko01200,K00247
ko01200,K00248
ko01200,K00249
ko01200,K00261
ko01200,K00281
ko01200,K00282
ko01200,K00283
ko01200,K00297
ko01200,K00317
ko01200,K00319
ko01200,K00320
ko01200,K00382
ko01200,K00399
ko01200,K00401
ko01200,K00402
ko01200,K00577
ko01200,K00578
ko01200,K00579
ko01200,K00580
ko01200,K00581
ko01200,K00582
ko01200,K00583
ko01200,K00584
ko01200,K00600
ko01200,K00605
ko01200,K00615
ko01200,K00616
ko01200,K00625
ko01200,K00626
ko01200,K00627
ko01200,K00640
ko01200,K00658
ko01200,K00672
ko01200,K00814
ko01200,K00830
ko01200,K00831
ko01200,K00844
ko01200,K00845
ko01200,K00850
ko01200,K00851
ko01200,K00855
ko01200,K00863
ko01200,K00873
ko01200,K00874
ko01200,K00886
ko01200,K00918
ko01200,K00925
ko01200,K00926
ko01200,K00927
ko01200,K00948
ko01200,K01006
ko01200,K01007
ko01200,K01053
ko01200,K01057
ko01200,K01070
ko01200,K01079
ko01200,K01086
ko01200,K01100
ko01200,K01455
ko01200,K01491
ko01200,K01499
ko01200,K01595
ko01200,K01601
ko01200,K01602
ko01200,K01610
ko01200,K01622
ko01200,K01623
ko01200,K01624
ko01200,K01625
ko01200,K01637
ko01200,K01638
ko01200,K01647
ko01200,K01676
ko01200,K01677
ko01200,K01678
ko01200,K01679
ko01200,K01681
ko01200,K01682
ko01200,K01689
ko01200,K01690
ko01200,K01715
ko01200,K01738
ko01200,K01752
ko01200,K01754
ko01200,K01782
ko01200,K01783
ko01200,K01803
ko01200,K01807
ko01200,K01808
ko01200,K01810
ko01200,K01825
ko01200,K01834
ko01200,K01846
ko01200,K01847
ko01200,K01848
ko01200,K01849
ko01200,K01895
ko01200,K01899
ko01200,K01900
ko01200,K01902
ko01200,K01903
ko01200,K01913
ko01200,K01938
ko01200,K01948
ko01200,K01958
ko01200,K01959
ko01200,K01960
ko01200,K01961
ko01200,K01962
ko01200,K01963
ko01200,K01964
ko01200,K01965
ko01200,K01966
ko01200,K02160
ko01200,K02437
ko01200,K02446
ko01200,K03388
ko01200,K03389
ko01200,K03390
ko01200,K03396
ko01200,K03737
ko01200,K03738
ko01200,K03781
ko01200,K03841
ko01200,K04041
ko01200,K04480
ko01200,K04835
ko01200,K05298
ko01200,K05299
ko01200,K05308
ko01200,K05605
ko01200,K05606
ko01200,K05942
ko01200,K06859
ko01200,K07404
ko01200,K07511
ko01200,K07514
ko01200,K07515
ko01200,K07516
ko01200,K08074
ko01200,K08093
ko01200,K08094
ko01200,K08264
ko01200,K08265
ko01200,K08318
ko01200,K08691
ko01200,K08692
ko01200,K09709
ko01200,K10713
ko01200,K10714
ko01200,K10944
ko01200,K10945
ko01200,K10946
ko01200,K11260
ko01200,K11261
ko01200,K11263
ko01200,K11389
ko01200,K11395
ko01200,K11517
ko01200,K11529
ko01200,K11532
ko01200,K11645
ko01200,K12406
ko01200,K12407
ko01200,K13034
ko01200,K13788
ko01200,K13810
ko01200,K13812
ko01200,K13831
ko01200,K13937
ko01200,K13942
ko01200,K14028
ko01200,K14029
ko01200,K14067
ko01200,K14080
ko01200,K14081
ko01200,K14082
ko01200,K14083
ko01200,K14084
ko01200,K14126
ko01200,K14127
ko01200,K14128
ko01200,K14138
ko01200,K14272
ko01200,K14446
ko01200,K14447
ko01200,K14448
ko01200,K14449
ko01200,K14451
ko01200,K14454
ko01200,K14455
ko01200,K14465
ko01200,K14466
ko01200,K14467
ko01200,K14468
ko01200,K14469
ko01200,K14470
ko01200,K14471
ko01200,K14472
ko01200,K14534
ko01200,K15016
ko01200,K15017
ko01200,K15018
ko01200,K15019
ko01200,K15020
ko01200,K15022
ko01200,K15023
ko01200,K15024
ko01200,K15036
ko01200,K15037
ko01200,K15038
ko01200,K15039
ko01200,K15052
ko01200,K15230
ko01200,K15231
ko01200,K15232
ko01200,K15233
ko01200,K15234
ko01200,K15633
ko01200,K15634
ko01200,K15635
ko01200,K15893
ko01200,K15916
ko01200,K15918
ko01200,K15919
ko01200,K16157
ko01200,K16158
ko01200,K16159
ko01200,K16160
ko01200,K16161
ko01200,K16162
ko01200,K16176
ko01200,K16177
ko01200,K16178
ko01200,K16179
ko01200,K16305
ko01200,K16306
ko01200,K16370
ko01200,K17066
ko01200,K17067
ko01200,K17069
ko01200,K17100
ko01200,K17829
ko01200,K17865
ko01200,K17989
ko01200,K18020
ko01200,K18021
ko01200,K18022
ko01200,K18118
ko01200,K18119
ko01200,K18120
ko01200,K18121
ko01200,K18122
ko01200,K18124
ko01200,K18125
ko01200,K18126
ko01200,K18127
ko01200,K18128
ko01200,K18209
ko01200,K18210
ko01200,K18472
ko01200,K18556
ko01200,K18557
ko01200,K18558
ko01200,K18559
ko01200,K18560
ko01200,K18859
ko01200,K18860
ko01200,K18861
ko01200,K18978
ko01200,K19243
ko01200,K19268
ko01200,K19269
ko01200,K19280
ko01200,K19281
ko01200,K19282
ko01200,K19312
ko01200,K22480
ko01200,K22481
ko01200,K22482
ko01200,K22515
ko01200,K22516
ko01200,K22568
